ts_utc,symbol,round_id,poll_price,ws_price,price_delta,chain_updated_at,poll_wall_ts,ws_wall_ts,poll_lag_s,ws_lag_s,delta_ms,faster
2026-03-31T09:34:49,BTC,55340232221132071719,66383.08709,66383.08709,0.0,1774949685,1774949688.4096522,1774949689.9437582,3.41,4.944,1534.1,poll
2026-03-31T09:35:06,SOL,36893488147423038055,81.72538062,81.72538062,0.0,1774949703,1774949705.6110394,1774949706.6357212,2.611,3.636,1024.7,poll
2026-03-31T09:35:08,XRP,36893488147422507777,1.30888,1.30888,0.0,1774949705,1774949707.868402,1774949708.6833594,2.868,3.683,815.0,poll
2026-03-31T09:35:21,BTC,55340232221132071720,66378.37,66378.37,0.0,1774949717,1774949721.4833493,1774949720.3569512,4.483,3.357,-1126.4,ws
2026-03-31T09:35:23,ETH,55340232221132099651,2024.8268,2024.8268,0.0,1774949719,1774949723.8402271,1774949722.4113176,4.84,3.411,-1428.9,ws
2026-03-31T09:35:41,SOL,36893488147423038056,81.68544217,81.68544217,0.0,1774949737,1774949741.0436287,1774949740.4267325,4.044,3.427,-616.9,ws
2026-03-31T09:35:45,XRP,36893488147422507778,1.30837,1.30837,0.0,1774949739,1774949745.7543392,1774949744.9342713,6.754,5.934,-820.1,ws
2026-03-31T09:35:54,ETH,55340232221132099652,2023.66,2023.66,0.0,1774949753,1774949754.3587775,1774949754.353627,1.359,1.354,-5.2,ws
2026-03-31T09:35:54,BTC,55340232221132071721,66371.08,66371.08,0.0,1774949751,1774949754.3613925,1774949754.0219214,3.361,3.022,-339.5,ws
2026-03-31T09:36:13,SOL,36893488147423038057,81.70176,81.70176,0.0,1774949771,1774949773.835198,1774949772.86137,2.835,1.861,-973.8,ws
2026-03-31T09:36:16,XRP,36893488147422507779,1.30818,1.30818,0.0,1774949773,1774949776.3699927,1774949774.6301136,3.37,1.63,-1739.9,ws
2026-03-31T09:36:27,BTC,55340232221132071722,66390.7041,66390.7041,0.0,1774949783,1774949787.1217718,1774949787.7021627,4.122,4.702,580.4,poll
2026-03-31T09:36:29,ETH,55340232221132099653,2024.61873458,2024.61873458,0.0,1774949785,1774949789.481029,1774949788.045729,4.481,3.046,-1435.3,ws
2026-03-31T09:36:46,SOL,36893488147423038058,81.75836,81.75836,0.0,1774949803,1774949806.8874328,1774949806.4765177,3.887,3.477,-410.9,ws
2026-03-31T09:36:47,XRP,36893488147422507780,1.30901,1.30901,0.0,1774949805,1774949807.098498,1774949806.7503753,2.098,1.75,-348.1,ws
2026-03-31T09:36:59,BTC,55340232221132071723,66390.79785192,66390.79785192,0.0,1774949817,1774949819.8920484,1774949819.7914321,2.892,2.791,-100.6,ws
2026-03-31T09:37:02,ETH,55340232221132099654,2025.68749626,2025.68749626,0.0,1774949819,1774949822.2469807,1774949820.095938,3.247,1.096,-2151.0,ws
2026-03-31T09:37:20,SOL,36893488147423038059,81.79572876,81.79572876,0.0,1774949837,1774949839.9608037,1774949840.6545963,2.961,3.655,693.8,poll
2026-03-31T09:37:24,XRP,36893488147422507781,1.3094,1.3094,0.0,1774949839,1774949844.4660835,1774949842.70294,5.466,3.703,-1763.1,ws
2026-03-31T09:37:35,BTC,55340232221132071724,66412.22563074,66412.22563074,0.0,1774949849,1774949855.5260913,1774949855.6276083,6.526,6.628,101.5,poll
2026-03-31T09:37:35,ETH,55340232221132099655,2026.38108477,2026.38108477,0.0,1774949851,1774949854.9108555,1774949855.9349058,3.911,4.935,1024.1,poll
2026-03-31T09:37:53,SOL,36893488147423038060,81.75622,81.75622,0.0,1774949869,1774949872.320453,1774949873.0355687,3.32,4.036,715.1,poll
2026-03-31T09:37:54,XRP,36893488147422507782,1.30924399,1.30924399,0.0,1774949871,1774949874.3521464,1774949873.3424978,3.352,2.342,-1009.6,ws
2026-03-31T09:38:05,BTC,55340232221132071725,66399.08,66399.08,0.0,1774949883,1774949885.8167546,1774949885.8207655,2.817,2.821,4.0,poll
2026-03-31T09:38:18,ETH,55340232221132099656,2025.4,2025.4,0.0,1774949895,1774949897.3210862,1774949898.0244493,2.321,3.024,703.4,poll
2026-03-31T09:38:24,SOL,36893488147423038061,81.71,81.71,0.0,1774949901,1774949904.577526,1774949902.4323306,3.578,1.432,-2145.2,ws
2026-03-31T09:38:34,XRP,36893488147422507783,1.30851,1.30851,0.0,1774949905,1774949914.6112626,1774949912.765325,9.611,7.765,-1845.9,ws
2026-03-31T09:38:38,BTC,55340232221132071726,66381.98005432,66381.98005432,0.0,1774949915,1774949918.178695,1774949917.8640282,3.179,2.864,-314.7,ws
